"research_date","retailer","product","product_type","motor_configuration","seller_location","source_class","listed_price_aud","gst_and_duties_treatment","delivery_treatment","estimated_delivered_price_aud","stock_status","warranty","returns","comparable_features","url","notes","source_quality"
"2026-08-13","BIG W","Intex Mesh Mat","Mesh hammock lounge","Not applicable","Australia","Australian direct retailer","29.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability varies by location","","Retailer policy; product-specific terms not captured","Source claims: inflatable mat with mesh centre","https://www.bigw.com.au/product/intex-mesh-mat-assorted-/p/96116","Assorted colour listing","High - live Australian retailer product page"
"2026-08-13","Myer","Sunnylife The Vacay Mesh Hammock Float","Mesh hammock lounge","Not applicable","Australia","Australian direct retailer; clearance","30.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Reduced-to-clear item; no change-of-mind return claim","Source claims: mesh hammock format with inflatable support","https://www.myer.com.au/p/sunnylife-the-vacay-mesh-hammock-float-in-green","Clearance price; prior price shown as 49.99","High - live Australian retailer page with clearance qualifier"
"2026-08-13","Rebel","Intex Transparent Water Hammock","Mesh hammock lounge","Not applicable","Australia","Australian direct retailer; special offer","39.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Special offer; availability varies","","Retailer policy; product-specific terms not captured","Source claims: water-hammock format with transparent panels","https://www.rebelsport.com.au/p/intex-transparent-water-hammock-713724.html","Promotional price may be temporary","High - live Australian retailer product page"
"2026-08-13","BCF","Intex Inflatable Floating Recline Lounge","Supportive pool chair","Not applicable","Australia","Australian direct retailer; clearance","20.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Clearance; availability varies","","Clearance terms may apply","Source claims: reclined seated design with arm support","https://www.bcf.com.au/p/intex-inflatable-floating-recline-lounge/639403.html","Clearance observation retained","High - live Australian retailer product page"
"2026-08-13","BIG W","Intex Floating Recliner Lounge 58868","Supportive pool chair","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","54.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: reclined chair with armrests and cup holders","https://www.bigw.com.au/product/intex-floating-recliner-lounge-58868/p/9900409495","Sold through BIG W marketplace by Idyllic Outdoors","Moderate - live marketplace page"
"2026-08-13","Myer","Intex Double Pillow Back Lounge","Supportive pool chair","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; sale","59.85","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Marketplace seller terms apply","Source claims: seated lounge with pillow back","https://www.myer.com.au/p/intex-pillow-back-lounge-inflatable-swim-pol-ring-float-chair-double-9year-19m","Sale price; reference price shown as 63.00","Moderate - live marketplace page"
"2026-08-13","Clark Rubber","Intex Floating Recliner Lounge","Supportive pool chair","Not applicable","Australia","Australian specialist retailer","59.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability varies by location","","Retailer policy; product-specific terms not captured","Source claims: supportive recliner with armrests","https://www.clarkrubber.com.au/products/30051-intex-floating-recliner-lounge","Direct specialist-retail comparator","High - live Australian retailer product page"
"2026-08-13","Super Warehouse","Coo-Ezy Inflatable Pool Chair","Supportive pool chair","Not applicable","Australia","Australian online retailer","64.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: upright inflatable pool chair","https://www.superwh.com.au/product/coo-ezy-chair/fo994600.aspx","Smaller retailer; fulfilment and policy detail not captured","Moderate - live Australian retailer product page"
"2026-08-13","DecorsDeluxe","Summer Inflatable Chair Pool Floating Lounger","Supportive pool chair","Not applicable","Australia","Australian online retailer; sale","69.99","Displayed AUD price; GST inclusion not separately stated","Free shipping claimed","69.99","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: chair-shaped floating lounger","https://decorsdeluxe.com/products/summer-inflatable-chair-pool-floating-lounger","Sale price and free-shipping claim retained; confirm remote-area exclusions","Moderate - live retailer page; smaller seller"
"2026-08-13","BCF","Funsicle Luxe Mesh Comfy Mat","Full-length pool lounge","Not applicable","Australia","Australian direct retailer; clearance","19.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Clearance; availability varies","","Clearance terms may apply","Source claims: full-body mat with mesh section","https://www.bcf.com.au/p/funsicle-luxe-mesh-comfy-mat-inflatable-pool-lounger/714085.html","Clearance observation retained","High - live Australian retailer product page"
"2026-08-13","BIG W","Foldable Striped PVC Floating Mat","Full-length pool lounge","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","22.86","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: foldable full-length PVC mat","https://www.bigw.com.au/product/inflatable-pool-float-lounge-chair-for-adults-foldable-striped-pvc-floating-mat-yellow/p/9901713978","Marketplace fulfilment and specification claims not independently verified","Moderate - live marketplace page"
"2026-08-13","Kmart","Inflatable Personal Pool Lounger","Full-length pool lounge","Not applicable","Australia","Australian direct retailer","29.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability varies by location","","Retailer policy; product-specific terms not captured","Source claims: single-person full-length lounger","https://www.kmart.com.au/product/inflatable-personal-pool-lounger-43574285/","Mainstream entry-to-mid comparator","High - live Australian retailer product page"
"2026-08-13","Clark Rubber","Clarkee Fabric Lounge","Full-length pool lounge","Not applicable","Australia","Australian specialist retailer; category-page price","89.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not confirmed on category page","","Retailer policy; product-specific terms not captured","Source claims: fabric-covered pool lounge","https://www.clarkrubber.com.au/shop/category/pool-lounges-coolers/skip-0","Price captured from live category results","Moderate - current price-bearing category page"
"2026-08-13","Clark Rubber","Aqua Campania Fabric 2 in 1 Lounge","Full-length pool lounge","Not applicable","Australia","Australian specialist retailer; category-page price","99.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not confirmed on category page","","Retailer policy; product-specific terms not captured","Source claims: convertible fabric-covered lounge","https://www.clarkrubber.com.au/shop/category/pool-lounges-coolers/skip-0","Price captured from live category results","Moderate - current price-bearing category page"
"2026-08-13","Bean Bags R Us","Amalfi Pool Lounger","Full-length pool lounge","Not applicable","Australia","Australian direct retailer; sale; from-price","124.50","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability varies by variant","","Retailer policy; product-specific terms not captured","Source claims: fabric pool beanbag lounger","https://www.beanbagsrus.com.au/collections/pool-bean-bags","From-price retained; variants may cost more","Moderate - current price-bearing collection page"
"2026-08-13","BIG W","Sunnylife Luxe Lounger Chair The Resort Navy","Full-length pool lounge","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; category-page price","209.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online availability not independently confirmed","","Marketplace seller terms apply","Source claims: premium full-length inflatable lounger","https://www.bigw.com.au/sports-leisure/pools-spas/inflatable-pool-toys/pool-loungers/c/671610304","Price captured from category results","Moderate - current price-bearing marketplace category page"
"2026-08-13","Sunday Supply Co","Dunes Inflatable Lounger","Full-length pool lounge","Not applicable","Australia","Australian premium direct retailer","499.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Only 7 left at research time","","Retailer policy; product-specific terms not captured","Source claims: premium full-length inflatable lounger","https://sundaysupply.co/products/dunes-inflatable-lounger","Premium outlier retained","High - live Australian direct-retailer product page"
"2026-08-13","BIG W","Bestway Domestic Double Ring Float","Two-person float","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","38.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: double-width ring-style float","https://www.bigw.com.au/product/bestway-toys-domestic-double-ring-float-74-x-46/p/9901445027","Sold through marketplace by The Nile","Moderate - live marketplace page"
"2026-08-13","Clark Rubber","Aqua Catalina Hammock Lounge 2 Person","Two-person float","Not applicable","Australia","Australian specialist retailer; clearance","50.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Clearance; availability varies","","Clearance terms may apply","Source claims: two-person hammock lounge","https://www.clarkrubber.com.au/products/45679-aqua-catalina-hammock-lounge-2-person","Clearance from 64.95 retained","High - live Australian retailer product page"
"2026-08-13","Mr Toys","Intex Watermelon Island","Two-person float","Not applicable","Australia","Australian direct retailer; in-store-only qualifier","59.99","Displayed AUD price; GST inclusion not separately stated","In-store only","59.99","In-store only; notify-me option shown","","Retailer policy; product-specific terms not captured","Source claims: large island-format float suitable for shared use","https://www.mrtoys.com.au/outdoor-sports-water-toys/inflatable-pools-and-beach-toys/intex-watermelon-island-22093.html","Not a delivered online price; local store availability required","High - live Australian retailer product page"
"2026-08-13","BCF","Tahwalhi Chill Out Inflatable Floating Lounger 2 Person","Two-person float","Not applicable","Australia","Australian direct retailer; special offer","60.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Special offer; availability varies","","Retailer policy; product-specific terms not captured","Source claims: two-person floating lounger","https://www.bcf.com.au/p/tahwalhi-chill-out-inflatable-floating-lounger-2-person/694119.html","Promotional price may be temporary","High - live Australian retailer product page"
"2026-08-13","AquaBoss","Double Water Hammock","Two-person float","Not applicable","Australia","Australian specialist retailer; collection-page price","79.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not confirmed on collection page","","Retailer policy; product-specific terms not captured","Source claims: double-width water hammock","https://acquaboss.com/collections/pool-floats","Price captured from live collection results","Moderate - current price-bearing collection page"
"2026-08-13","Harvey Norman","Bestway Floating Island 2 Man River Tube","Two-person float","Not applicable","Australia","Australian direct retailer; online only","80.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Retailer policy; product-specific terms not captured","Source claims: two-person tube-style island","https://www.harveynorman.com.au/bestway-floating-island-pool-2-man-river-tube-float.html","Australian national-retailer comparator","High - live Australian retailer product page"
"2026-08-13","AquaBoss","The Island","Two-person float","Not applicable","Australia","Australian specialist retailer","99.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: shared island-style pool float","https://acquaboss.com/products/acquaboss-the-island","Direct specialist-retail comparator","High - live Australian retailer product page"
"2026-08-13","Bunnings","Costway Two-Person Floating Bed with Canopy","Two-person float","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing","104.45","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Add to cart","","Marketplace seller terms apply","Source claims: two-person island, detachable canopy and cup holders","https://www.bunnings.com.au/costway-inflatable-island-pool-floating-bed-with-2-cup-holders-detachable-canopy_p0643608","Marketplace product sold through Bunnings","Moderate - live marketplace page"
"2026-08-13","Hikidspace","Two-Person Inflatable Pool Float Lounge with Canopy","Two-person float","Not applicable","Australia","Australian online retailer","190.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: two-person island raft with canopy","https://www.hikidspace.com/products/inflatable-pool-float-lounge-floating-island-raft-with-canopy","Smaller retailer; specification and fulfilment claims not independently verified","Moderate - live Australian retailer product page"
"2026-08-13","Sunnylife","Luxe Twin Hammock Float Le Weekend","Two-person float","Not applicable","Australia","Australian brand direct retailer","199.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: premium twin hammock format","https://www.sunnylife.com.au/products/luxe-twin-hammock-float-le-weekend-blue-s51dhnav","Premium branded comparator","High - live Australian brand product page"
"2026-08-13","AquaBoss","Luxe Double Lounger Bed","Two-person float","Not applicable","Australia","Australian specialist retailer; collection-page price","399.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not confirmed on collection page","","Retailer policy; product-specific terms not captured","Source claims: premium double lounger bed","https://acquaboss.com/collections/pool-floats","Premium outlier captured outside the core benchmark band","Moderate - current price-bearing collection page"
"2026-08-13","Kmart","Inflatable Floating Party Island","Multi-person party island","Not applicable","Australia","Australian direct retailer; clearance","25.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Clearance; availability varies","","Clearance terms may apply","Source claims: four-person party island","https://www.kmart.com.au/product/inflatable-floating-party-island-43574834/","Clearance from 129.00 creates a non-representative low outlier","High - live Australian retailer page with clearance qualifier"
"2026-08-13","Pool Set","Giant Inflatable Flamingo Lounger","Multi-person party island","Not applicable","Australia","Australian online retailer; sale","31.20","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: oversized multi-rider novelty lounger","https://poolset.com.au/products/pool-set-flamingo-lounger","Sale observation retained","Moderate - live Australian retailer page"
"2026-08-13","Costco Australia","Hydro-Force Kick Back Inflatable Island","Multi-person party island","Not applicable","Australia","Australian membership retailer; unavailable","149.99","Displayed AUD price; GST inclusion not separately stated","Delivery included in displayed price","149.99","Out of stock","","Membership retailer terms apply","Source claims: five-person island","https://www.costco.com.au/BESTWAY/Hydro-Force-Kick-Back-Inflatable-Island/p/141733","Unavailable listing retained because it is price-bearing; membership may be required","High - live Australian retailer product page"
"2026-08-13","Myer","Bestway Inflatable Island Lounger 3.05 m x 1.86 m","Multi-person party island","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing","309.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout; bulky-item charges may apply","","Availability not independently confirmed","","No change-of-mind return claim; bulky-product conditions apply","Source claims: large shared island lounger","https://www.myer.com.au/p/bestway-inflatable-island-lounger-305mx186m-in-multi","Marketplace and bulky-delivery qualifiers retained","Moderate - live marketplace page"
"2026-08-13","BIG W","Inflatable Floating Island for 4 Persons","Multi-person party island","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","317.90","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: four-person floating island","https://www.bigw.com.au/product/inflatable-floating-island-for-4-persons/p/9900979192","Marketplace specification and fulfilment claims not independently verified","Moderate - live marketplace page"
"2026-08-13","Ubuy Australia","Tzsmat Inflatable Pool Floating Island","Multi-person party island","Not applicable","US import via Ubuy Australia","Cross-border importer","353.00","Source states shipping and customs charges are excluded","Calculated at checkout; import charges may apply","","In stock","Source claim: manufacturer warranty may not be valid in Australia","Source claim: importer-of-record and return conditions apply","Source claims: multi-person island for pool or lake use","https://www.u-buy.com.au/product/8EXLA6162-tzsmat-inflatable-pool-floating-island-lounger-raft-lake-float-water-float-for-lake-river-pool-multi-person-party-floatie-toys-relaxation-island","Headline price is not a landed price; cross-border evidence","Moderate - live importer product page; landed price incomplete"
"2026-08-13","Waterskiers World","Jetpilot Party Island","Multi-person party island","Not applicable","Australia","Australian specialist retailer","649.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Source claim: 60-day exchange or return conditions apply","Source claims: six-occupant party island","https://waterskiersworld.com.au/products/jetpilot-party-island","Watersports specialist comparator; intended-use differences require checking","High - live Australian specialist product page"
"2026-08-13","Williams Australia","WOW Stadium Islander 12","Multi-person party island","Not applicable","Australia","Australian specialist retailer","775.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: high-capacity stadium-style island","https://williamsaustralia.com/watertoys/wow-stadium-islander","Premium high-capacity outlier retained","High - live Australian specialist product page"
"2026-08-13","Sunchill Australia","Sunchill Water Hammock","Multi-person party island","Not applicable","Australia","Australian direct retailer","999.00","Displayed AUD price; GST inclusion not separately stated","Free shipping claimed","999.00","Add to cart","Source claim: five-year warranty","Source claim: 30-day returns","Source claims: large multi-person water hammock with pump and carry bag","https://sunchill.com.au/products/sunchill","Premium open-water-style comparator; intended use and safety profile differ from a pool-only product","High - live Australian direct-retailer page with clear price and terms"
"2026-08-13","BCF","Intex Pool Volleyball Game","Pool volleyball set","Not applicable","Australia","Australian direct retailer; clearance","9.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Clearance; availability varies","","Clearance terms may apply","Source claims: floating net and ball set","https://www.bcf.com.au/p/intex-pool-volleyball-game/433159.html","Clearance observation retained","High - live Australian retailer product page"
"2026-08-13","BIG W","Bestway Volleyball Pool Game Set","Pool volleyball set","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","19.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: floating volleyball net set","https://www.bigw.com.au/product/bestway-volleyball-pool-game-set/p/9900034426","Marketplace listing","Moderate - live marketplace page"
"2026-08-13","Road Tech Marine","Bestway Inflatable Pool Volleyball Game","Pool volleyball set","Not applicable","Australia","Australian specialist retailer","24.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: inflatable net and ball game","https://www.roadtechmarine.com.au/pool-volleyball-game-inflatable/p/GT3124","Specialist-retail comparator","High - live Australian retailer product page"
"2026-08-13","Candoray","SplashZone Inflatable Pool Volleyball Set","Pool volleyball set","Not applicable","Australia","Australian online retailer; sale","39.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: inflatable net frame and ball","https://www.candoray.com.au/outdoor/p/splashzone-inflatable-pool-volleyball-set","Sale price retained","Moderate - live Australian retailer product page"
"2026-08-13","Myer","Lazy Dayz Inflatable Volleyball Set","Pool volleyball set","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing","49.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Marketplace seller terms apply","Source claims: bright-colour floating net set","https://www.myer.com.au/p/lazy-dayz-inflatable-volleyball-set-orange","Marketplace comparator","Moderate - live marketplace page"
"2026-08-13","Klika","Inflatable Volleyball Set","Pool volleyball set","Not applicable","Australia","Australian online retailer","59.94","Displayed AUD price; GST inclusion not separately stated","Free delivery claimed","59.94","In stock","Source claim: 12-month warranty","Retailer policy; product-specific terms not captured","Source claims: floating frame, net and ball","https://www.klika.com.au/inflatable-volleyball-set-floating-pool-party-frame-net-and-ball-comes.html","Free-delivery and warranty claims not independently tested","High - live Australian retailer product page"
"2026-08-13","King Spa Pools","Intex Mega Floating Bar","Floating cooler","Not applicable","Australia","Australian specialist retailer","29.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Retailer policy; product-specific terms not captured","Source claims: floating ice and drink storage","https://kingspapools.com.au/product/intex-mega-floating-bar","Specialist-retail comparator","High - live Australian retailer product page"
"2026-08-13","Pump Factory","25 L KASAEsky Inflatable Floating Drinks Cooler","Floating cooler","Not applicable","Australia","Australian online retailer; sale","34.74","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: 25 L inflatable floating cooler","https://pumpfactory.com.au/products/25l-kasaesky-technology-inflatable-floating-drinks-cooler","Sale observation retained","Moderate - live Australian retailer product page"
"2026-08-13","TheITmart","Anko Inflatable Floating Cooler","Floating cooler","Not applicable","Australia","Australian online retailer; unavailable","34.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Out of stock","","Retailer policy; product-specific terms not captured","Source claims: inflatable floating drinks cooler","https://www.theitmart.com.au/products/inflatable-floating-cooler","Unavailable price-bearing listing retained","Moderate - live retailer page; unavailable"
"2026-08-13","BIG W","Intex MegaChill Inflatable Floating Cooler","Floating cooler","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","39.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: floating cooler with drink holders","https://www.bigw.com.au/product/intex-megachill-inflatable-floating-pool-drink-water-cup-holder-chiller-cooler/p/9900006973","Marketplace comparator","Moderate - live marketplace page"
"2026-08-13","Maro","Inflatable Party Turntable Cooler","Floating cooler","Not applicable","Australia","Australian online retailer","39.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: novelty turntable-shaped cooler","https://maro.com.au/product/inflatable-24-x-21-61cm-x-53cm-party-turntable-cooler/","Novelty-form comparator","Moderate - live Australian retailer product page"
"2026-08-13","BIG W","Lazy Dayz Inflatable Pool Drinks Cooler","Floating cooler","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","66.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: floating cooler bar format","https://www.bigw.com.au/product/inflatable-pool-beach-drinks-cooler-floating-bar-beer-holder-ice-tub-chiller-arm-summer-holiday-alcohol-beverage-teal/p/9901445875","Marketplace listing; brand and seller claims not independently verified","Moderate - live marketplace page"
